Time,Extension,Load,Tensile stress,Tensile strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-1.65356","-0.09018","0.00000"
"0.01600","0.00000","-1.58427","-0.08640","0.00000"
"0.03200","0.00000","-1.62266","-0.08850","0.00000"
"0.04800","0.00000","-1.57121","-0.08569","0.00000"
"0.06400","0.00006","-1.51677","-0.08272","0.00000"
"0.08000","0.00006","-1.45601","-0.07941","0.00000"
"0.09600","0.00006","-1.49623","-0.08160","0.00000"
"0.11200","0.00006","-1.45992","-0.07962","0.00000"
"0.12800","0.00012","-1.37896","-0.07521","0.00000"
"0.14400","0.00019","-1.19510","-0.06518","0.00001"
"0.16000","0.00025","-0.55973","-0.03053","0.00001"
"0.17600","0.00044","0.67360","0.03674","0.00002"
"0.19200","0.00069","2.47254","0.13485","0.00003"
"0.20800","0.00094","5.24120","0.28584","0.00004"
"0.22400","0.00125","8.85985","0.48319","0.00005"
"0.24000","0.00150","13.04290","0.71133","0.00006"
"0.25600","0.00169","17.37176","0.94741","0.00007"
"0.27200","0.00187","21.29945","1.16162","0.00007"
"0.28800","0.00200","24.54359","1.33855","0.00008"
"0.30400","0.00212","26.98991","1.47196","0.00008"
"0.32000","0.00225","28.90090","1.57618","0.00009"
"0.33600","0.00237","30.77737","1.67852","0.00009"
"0.35200","0.00250","32.70495","1.78365","0.00010"
"0.36800","0.00269","34.87459","1.90197","0.00011"
"0.38400","0.00281","37.24752","2.03139","0.00011"
"0.40000","0.00300","39.59933","2.15965","0.00012"
"0.41600","0.00319","42.09792","2.29592","0.00013"
"0.43200","0.00337","44.83952","2.44544","0.00013"
"0.44800","0.00362","47.79136","2.60642","0.00014"
"0.46400","0.00387","51.14428","2.78928","0.00015"
"0.48000","0.00406","54.61640","2.97864","0.00016"
"0.49600","0.00431","58.21977","3.17516","0.00017"
"0.51200","0.00450","61.93356","3.37770","0.00018"
"0.52800","0.00462","65.17007","3.55421","0.00018"
"0.54400","0.00475","67.75362","3.69511","0.00019"
"0.56000","0.00487","69.84525","3.80919","0.00019"
"0.57600","0.00494","71.57330","3.90343","0.00019"
"0.59200","0.00506","73.03539","3.98317","0.00020"
"0.60800","0.00512","74.52022","4.06415","0.00020"
"0.62400","0.00525","75.95935","4.14263","0.00021"
"0.64000","0.00537","77.33107","4.21744","0.00021"
"0.65600","0.00544","78.79585","4.29733","0.00021"
"0.67200","0.00556","80.28928","4.37878","0.00022"
"0.68800","0.00569","82.01608","4.47295","0.00022"
"0.70400","0.00581","83.89341","4.57534","0.00023"
"0.72000","0.00600","85.87404","4.68336","0.00024"
"0.73600","0.00612","87.76025","4.78623","0.00024"
"0.75200","0.00625","89.77462","4.89609","0.00025"
"0.76800","0.00637","91.78176","5.00555","0.00025"
"0.78400","0.00650","93.79228","5.11520","0.00026"
"0.80000","0.00669","96.08594","5.24029","0.00026"
"0.81600","0.00681","98.40380","5.36670","0.00027"
"0.83200","0.00700","100.74075","5.49415","0.00028"
"0.84800","0.00712","102.97675","5.61610","0.00028"
"0.86400","0.00731","105.25256","5.74021","0.00029"
