Time,Extension,Load,Tensile stress,Tensile strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.21840","-0.03204","0.00000"
"0.01600","0.00000","-0.17018","-0.02497","0.00000"
"0.03200","0.00000","-0.22901","-0.03360","0.00000"
"0.04800","0.00000","-0.12727","-0.01867","0.00000"
"0.06400","0.00000","-0.21792","-0.03197","0.00000"
"0.08000","0.00000","-0.18349","-0.02692","0.00000"
"0.09600","0.00000","-0.17819","-0.02614","0.00000"
"0.11200","0.00012","-0.03546","-0.00520","0.00000"
"0.12800","0.00012","0.07481","0.01098","0.00000"
"0.14400","0.00019","0.47112","0.06912","0.00001"
"0.16000","0.00031","0.96700","0.14187","0.00001"
"0.17600","0.00050","1.61940","0.23759","0.00002"
"0.19200","0.00075","2.86117","0.41977","0.00003"
"0.20800","0.00100","4.51935","0.66305","0.00004"
"0.22400","0.00125","6.75385","0.99088","0.00005"
"0.24000","0.00144","9.28440","1.36215","0.00006"
"0.25600","0.00169","11.84832","1.73831","0.00007"
"0.27200","0.00187","14.22458","2.08694","0.00007"
"0.28800","0.00200","16.42638","2.40997","0.00008"
"0.30400","0.00219","18.38188","2.69687","0.00009"
"0.32000","0.00237","20.09745","2.94857","0.00009"
"0.33600","0.00256","21.63359","3.17394","0.00010"
"0.35200","0.00275","23.27085","3.41415","0.00011"
"0.36800","0.00294","24.96838","3.66320","0.00012"
"0.38400","0.00312","26.95035","3.95398","0.00012"
"0.40000","0.00331","29.13508","4.27451","0.00013"
"0.41600","0.00350","31.12212","4.56604","0.00014"
"0.43200","0.00369","33.00544","4.84235","0.00015"
"0.44800","0.00381","34.81981","5.10854","0.00015"
"0.46400","0.00394","36.53653","5.36041","0.00016"
"0.48000","0.00406","37.93009","5.56486","0.00016"
"0.49600","0.00412","39.06279","5.73104","0.00016"
"0.51200","0.00425","40.08690","5.88129","0.00017"
"0.52800","0.00437","40.98275","6.01273","0.00017"
"0.54400","0.00444","41.95869","6.15591","0.00017"
"0.56000","0.00456","43.00238","6.30904","0.00018"
"0.57600","0.00469","43.84476","6.43262","0.00018"
"0.59200","0.00475","44.86916","6.58292","0.00019"
"0.60800","0.00487","45.85552","6.72763","0.00019"
"0.62400","0.00500","47.11779","6.91282","0.00020"
"0.64000","0.00512","48.32918","7.09055","0.00020"
"0.65600","0.00525","49.69849","7.29144","0.00021"
"0.67200","0.00544","50.93563","7.47295","0.00021"
"0.68800","0.00556","52.16578","7.65343","0.00022"
"0.70400","0.00575","53.53441","7.85423","0.00023"
"0.72000","0.00594","55.27134","8.10906","0.00023"
"0.73600","0.00612","56.97466","8.35896","0.00024"
"0.75200","0.00625","58.74842","8.61919","0.00025"
"0.76800","0.00644","60.52011","8.87912","0.00025"
"0.78400","0.00662","62.31673","9.14271","0.00026"
"0.80000","0.00675","64.00607","9.39056","0.00027"
"0.81600","0.00687","65.50407","9.61034","0.00027"
"0.83200","0.00706","67.07797","9.84125","0.00028"
"0.84800","0.00719","68.51044","10.05142","0.00028"
"0.86400","0.00731","69.82787","10.24470","0.00029"
"0.88000","0.00744","71.04891","10.42384","0.00029"
"0.89600","0.00756","72.23209","10.59743","0.00030"
"0.91200","0.00769","73.33196","10.75880","0.00030"
"0.92800","0.00775","74.44093","10.92150","0.00031"
"0.94400","0.00794","75.65860","11.10015","0.00031"
"0.96000","0.00806","76.78816","11.26587","0.00032"
"0.97600","0.00819","78.06938","11.45384","0.00032"
"0.99200","0.00831","79.54998","11.67107","0.00033"
"1.00800","0.00850","80.88544","11.86699","0.00033"
"1.02400","0.00862","82.35947","12.08326","0.00034"
"1.04000","0.00881","83.77690","12.29121","0.00035"
"1.05600","0.00894","85.37235","12.52529","0.00035"
"1.07200","0.00912","86.91129","12.75107","0.00036"
"1.08800","0.00925","88.45554","12.97763","0.00036"
"1.10400","0.00937","89.92505","13.19323","0.00037"
"1.12000","0.00950","91.33626","13.40027","0.00037"
"1.13600","0.00962","92.70190","13.60063","0.00038"
"1.15200","0.00969","93.83167","13.76638","0.00038"
"1.16800","0.00981","94.80317","13.90892","0.00039"
"1.18400","0.00987","95.63605","14.03111","0.00039"
"1.20000","0.01000","96.58316","14.17006","0.00039"
"1.21600","0.01006","97.39250","14.28881","0.00040"
"1.23200","0.01019","98.18781","14.40549","0.00040"
"1.24800","0.01025","99.11164","14.54103","0.00040"
"1.26400","0.01037","100.07359","14.68216","0.00041"
"1.28000","0.01050","101.24825","14.85450","0.00041"
"1.29600","0.01062","102.41003","15.02495","0.00042"
"1.31200","0.01075","103.45655","15.17848","0.00042"
"1.32800","0.01087","104.45242","15.32459","0.00043"
"1.34400","0.01100","105.57942","15.48994","0.00043"
"1.36000","0.01112","106.65025","15.64704","0.00044"
"1.37600","0.01125","107.83821","15.82133","0.00044"
"1.39200","0.01144","109.32036","16.03879","0.00045"
"1.40800","0.01162","111.00618","16.28612","0.00046"
"1.42400","0.01181","112.71494","16.53682","0.00047"
"1.44000","0.01200","114.55192","16.80633","0.00047"
"1.45600","0.01219","116.63351","17.11172","0.00048"
"1.47200","0.01244","118.58168","17.39755","0.00049"
"1.48800","0.01262","120.54417","17.68547","0.00050"
"1.50400","0.01281","122.58054","17.98423","0.00050"
"1.52000","0.01294","124.38014","18.24826","0.00051"
"1.53600","0.01306","125.93606","18.47653","0.00051"
"1.55200","0.01312","127.15580","18.65549","0.00052"
"1.56800","0.01325","128.07368","18.79015","0.00052"
"1.58400","0.01331","129.09404","18.93985","0.00052"
"1.60000","0.01344","129.91586","19.06043","0.00053"
"1.61600","0.01350","130.73254","19.18024","0.00053"
"1.63200","0.01362","131.55882","19.30147","0.00054"
"1.64800","0.01375","132.57280","19.45024","0.00054"
"1.66400","0.01387","133.75986","19.62439","0.00055"
"1.68000","0.01400","134.89713","19.79124","0.00055"
"1.69600","0.01412","135.85138","19.93125","0.00056"
"1.71200","0.01425","136.89584","20.08448","0.00056"
"1.72800","0.01437","138.01976","20.24938","0.00057"
"1.74400","0.01456","139.33054","20.44169","0.00057"
"1.76000","0.01469","140.78896","20.65566","0.00058"
"1.77600","0.01487","142.28410","20.87502","0.00059"
"1.79200","0.01506","143.87807","21.10887","0.00059"
"1.80800","0.01525","145.65747","21.36993","0.00060"
"1.82400","0.01537","147.50732","21.64133","0.00061"
"1.84000","0.01550","149.17931","21.88663","0.00061"
"1.85600","0.01562","150.69891","22.10958","0.00062"
"1.87200","0.01575","151.96123","22.29478","0.00062"
"1.88800","0.01587","153.06711","22.45703","0.00062"
"1.90400","0.01594","154.09894","22.60841","0.00063"
"1.92000","0.01606","154.95998","22.73474","0.00063"
"1.93600","0.01612","155.79825","22.85773","0.00063"
"1.95200","0.01619","156.58441","22.97306","0.00064"
"1.96800","0.01631","157.49304","23.10637","0.00064"
"1.98400","0.01644","158.38846","23.23774","0.00065"
"2.00000","0.01650","159.18594","23.35475","0.00065"
"2.01600","0.01662","159.90849","23.46075","0.00065"
"2.03200","0.01675","160.80743","23.59264","0.00066"
"2.04800","0.01687","161.90146","23.75315","0.00066"
"2.06400","0.01700","163.14159","23.93509","0.00067"
"2.08000","0.01712","164.47343","24.13049","0.00067"
"2.09600","0.01725","165.71512","24.31266","0.00068"
"2.11200","0.01744","166.87312","24.48256","0.00069"
"2.12800","0.01756","168.17314","24.67329","0.00069"
"2.14400","0.01775","169.67897","24.89421","0.00070"
"2.16000","0.01794","171.31255","25.13388","0.00071"
"2.17600","0.01812","172.86745","25.36201","0.00071"
"2.19200","0.01825","174.38914","25.58526","0.00072"
"2.20800","0.01844","176.11864","25.83900","0.00073"
"2.22400","0.01862","177.97200","26.11092","0.00073"
"2.24000","0.01875","179.52116","26.33820","0.00074"
"2.25600","0.01887","181.01411","26.55724","0.00074"
"2.27200","0.01900","182.44191","26.76671","0.00075"
"2.28800","0.01912","183.77940","26.96294","0.00075"
"2.30400","0.01931","185.03578","27.14727","0.00076"
"2.32000","0.01944","186.21405","27.32014","0.00077"
"2.33600","0.01956","187.31247","27.48129","0.00077"
"2.35200","0.01969","188.65062","27.67761","0.00078"
"2.36800","0.01981","189.83322","27.85112","0.00078"
"2.38400","0.01994","190.79645","27.99244","0.00078"
"2.40000","0.02006","191.85272","28.14741","0.00079"
"2.41600","0.02019","193.04901","28.32292","0.00079"
"2.43200","0.02031","194.21986","28.49470","0.00080"
"2.44800","0.02044","195.41876","28.67059","0.00080"
"2.46400","0.02062","196.78595","28.87118","0.00081"
"2.48000","0.02075","198.38728","29.10612","0.00082"
"2.49600","0.02094","199.86084","29.32231","0.00082"
"2.51200","0.02112","201.22591","29.52258","0.00083"
"2.52800","0.02125","202.68674","29.73690","0.00084"
"2.54400","0.02137","204.22896","29.96317","0.00084"
"2.56000","0.02150","205.49931","30.14955","0.00085"
"2.57600","0.02156","206.62656","30.31493","0.00085"
"2.59200","0.02169","207.66307","30.46700","0.00085"
"2.60800","0.02175","208.56427","30.59922","0.00086"
"2.62400","0.02187","209.60182","30.75144","0.00086"
"2.64000","0.02200","210.37816","30.86534","0.00087"
"2.65600","0.02206","211.17116","30.98168","0.00087"
"2.67200","0.02219","211.94730","31.09555","0.00087"
"2.68800","0.02225","212.85205","31.22829","0.00088"
"2.70400","0.02237","213.81613","31.36974","0.00088"
"2.72000","0.02250","214.66351","31.49406","0.00089"
"2.73600","0.02262","215.77873","31.65768","0.00089"
"2.75200","0.02275","216.86412","31.81692","0.00090"
"2.76800","0.02287","218.03845","31.98921","0.00090"
"2.78400","0.02300","219.30254","32.17467","0.00091"
"2.80000","0.02319","220.52739","32.35437","0.00091"
"2.81600","0.02337","221.71028","32.52792","0.00092"
"2.83200","0.02356","223.24036","32.75240","0.00093"
"2.84800","0.02375","224.90900","32.99721","0.00094"
"2.86400","0.02394","226.65218","33.25296","0.00094"
"2.88000","0.02412","228.52914","33.52834","0.00095"
"2.89600","0.02431","230.40262","33.80320","0.00096"
"2.91200","0.02450","232.20396","34.06748","0.00096"
"2.92800","0.02469","234.01321","34.33292","0.00097"
"2.94400","0.02481","235.77321","34.59114","0.00098"
"2.96000","0.02494","237.18532","34.79832","0.00098"
"2.97600","0.02500","238.12819","34.93665","0.00098"
"2.99200","0.02512","239.03711","35.07000","0.00099"
"3.00800","0.02519","240.07082","35.22166","0.00099"
"3.02400","0.02531","240.88542","35.34117","0.00100"
"3.04000","0.02537","241.64302","35.45232","0.00100"
"3.05600","0.02550","242.33333","35.55360","0.00100"
"3.07200","0.02562","243.22209","35.68399","0.00101"
"3.08800","0.02575","244.26042","35.83633","0.00101"
"3.10400","0.02587","245.30832","35.99007","0.00102"
"3.12000","0.02600","246.30450","36.13622","0.00102"
"3.13600","0.02612","247.34198","36.28844","0.00103"
"3.15200","0.02625","248.33470","36.43408","0.00103"
"3.16800","0.02637","249.59888","36.61955","0.00104"
"3.18400","0.02650","250.92490","36.81410","0.00104"
"3.20000","0.02669","252.27914","37.01279","0.00105"
"3.21600","0.02681","253.54384","37.19833","0.00106"
"3.23200","0.02700","254.88904","37.39569","0.00106"
"3.24800","0.02719","256.42892","37.62162","0.00107"
"3.26400","0.02731","257.87915","37.83438","0.00108"
"3.28000","0.02744","259.30768","38.04397","0.00108"
"3.29600","0.02756","260.51874","38.22165","0.00109"
"3.31200","0.02769","261.81320","38.41156","0.00109"
"3.32800","0.02781","262.97006","38.58129","0.00109"
"3.34400","0.02794","263.86926","38.71321","0.00110"
"3.36000","0.02800","264.70911","38.83643","0.00110"
"3.37600","0.02806","265.60837","38.96836","0.00110"
"3.39200","0.02819","266.40060","39.08459","0.00111"
"3.40800","0.02831","267.30258","39.21693","0.00111"
"3.42400","0.02837","268.05856","39.32784","0.00112"
"3.44000","0.02850","268.86688","39.44643","0.00112"
